Destination/Source,Armor Xemnas I,Armor Xemnas II,Axel I,Axel II,Barbossa,Blizzard Lord,Cerberus,Cloud,Dark Thorn,Demyx,Demyx OC,Final Xemnas,Grim Reaper I,Grim Reaper II,Groundshaker,Hades II,Hayner,Hercules,Hostile Program,Hydra,Jafar,Larxene,Leon,Lexaeus,Luxord,Marluxia,Oogie Boogie,Past Pete,Pete TR,Prison Keeper,Riku,Roxas,Saix,Sark,Scar,Seifer,Sephiroth,Setzer,Shadow Stalker,Shan-Yu,Storm Rider,Terra,The Beast,The Experiment,Thresholder,Tifa,Twilight Thorn,Vexen,Vivi,Volcano Lord,Xaldin,Xemnas,Xigbar,Yuffie,Zexion
Final Xemnas,G,G,G,X,,X,,X,X,,,,,,,G,X,,,,X,,X,,,,,,X,,X,,,,,G,,X,X,X,,,,,,X,G,,X,X,,,,X,
Larxene,,X,X,X,X,X,,X,,,X,,X,,X,X,X,,,,,,X,,,,X,X,X,X,,,,X,X,X,,X,X,,,,,,,X,X,X,X,X,,X,,X,
Lexaeus,,,,X,,X,X,X,,,,X,,,,X,X,X,,,G,,X,,,,X,,X,,X,,,,,X,,X,,,,,G,,,X,,,X,X,,,,X,
Marluxia,,,G,X,,G,,X,,,,,,,G,X,,,,,,,X,,,,,,G,,,,,,G,,,,,,,,,,,X,G,,,G,,,,X,
Roxas,,,G,X,,X,,X,,,,,,,,X,,,,,,,X,,,,,,X,,,,,,,,,,,,,,,,,X,G,,,X,,,,X,
Sark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scar,,,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sephiroth,,X,G,X,,G,,X,,,,,,,G,,,,,,,,X,,,,G,,,,,,,,G,,,,,,,,G,,,X,G,,,G,,,,X,
Terra,,G,X,X,,X,G,X,,,,,,,X,X,,,X,,G,,X,,,,G,,X,,,,,,X,,,,,,,,G,,,X,X,,,X,,,,X,
Xaldin,,,X,X,,,,X,,,,,,,X,G,G,,,,,,X,,,,,,G,,,,,,X,G,,G,,,,,,,,X,X,,G,,,,,X,
Xemnas,,,G,X,,,,G,,,,,,,,,G,,,,,,G,,,,,,,,G,,,,,,,G,,,,,,,,G,G,,G,,,,,G,
Xigbar,,X,X,X,,,,X,,,X,,X,,,X,X,,,,X,,X,,,,,,,,X,,,,,X,,X,,,,,X,,,X,X,,X,,,,,X,
Yuffie,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,X,,X,,,,,X,,X,,,,,,,,,,,X,,,,,,
