Destination/Source,Armor Xemnas I,Armor Xemnas II,Axel I,Axel II,Barbossa,Blizzard Lord,Cerberus,Cloud,Dark Thorn,Demyx,Demyx OC,Final Xemnas,Grim Reaper I,Grim Reaper II,Groundshaker,Hades II,Hayner,Hercules,Hostile Program,Hydra,Jafar,Larxene,Leon,Lexaeus,Luxord,Marluxia,Oogie Boogie,Past Pete,Pete TR,Prison Keeper,Riku,Roxas,Saix,Sark,Scar,Seifer,Sephiroth,Setzer,Shadow Stalker,Shan-Yu,Storm Rider,Terra,The Beast,The Experiment,Thresholder,Tifa,Twilight Thorn,Vexen,Vivi,Volcano Lord,Xaldin,Xemnas,Xigbar,Yuffie,Zexion
Armor Xemnas I,,,,,,,,X,,,X,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,X,
Armor Xemnas II,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Axel I,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Axel II,,,,F,,,,G,,,X,,,,X,X,,,,,X,,G,,,,,,,,,,,,X,,,,,,,,,,,G,,,,,,,,G,
Barbossa,,,,,,,,X,,,X,,,,X,,,,,,,,X,,,,,,,,,,,,X,,,,,,,,,,,X,,,,,,,G,X,G
Blizzard Lord,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cerberus,,,,G,,,,X,,,X,,,,,,,,,,,,X,,,,G,,,,,,,,,,,,,,,,G,,,X,,,,,,,,X,
Cloud,,,,,,,,,,,X,,,,,X,X,,,,,,,,,,,,X,,X,,,,,X,,X,,,,,,,,,,,X,,,,,,
Dark Thorn,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Demyx,,,G,X,,X,X,X,,,X,X,,,X,,X,X,,,,,X,,,,,,X,,X,,,,G,X,,X,,,,,,,,X,G,,X,X,,,,X,
Demyx OC,X,X,X,X,X,X,X,X,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
Final Xemnas,G,G,G,X,,X,,X,X,,X,,,,,G,X,,,,X,,X,,,,,,X,,X,,,,,G,,X,X,X,,,,,,X,G,,X,X,,,,X,
Grim Reaper I,,,,G,,,,,,,X,,,,,,X,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,X,,,,,,
Grim Reaper II,,,X,X,X,X,,X,X,,X,X,X,,X,X,X,X,,,X,,X,,,,X,,X,,,,,,X,X,,X,X,X,,,,,X,X,X,,X,X,,,,X,
Groundshaker,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
Hades II,,,,,,,,X,,,X,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,X,
Hayner,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hercules,,,,,,,,,,,X,,,,,X,X,,,,,,,,,,,,X,,X,,,,,X,,X,,,,,,,,,,,X,,,,,,
Hostile Program,,,,,,G,,G,,,X,,,,,,G,G,,,,,G,,,,G,,G,,G,,,,,,,G,,,,,G,,,G,,,G,G,,,,G,
Hydra,,,X,X,G,X,,X,,,X,,,,X,X,X,,,,X,,X,,,,G,,X,,,,,,X,X,,X,,,,,G,,,X,X,,X,X,,,G,X,
Jafar,X,,X,X,X,X,,G,,X,X,,X,X,X,,G,,X,,,X,G,X,X,X,X,X,X,G,,,X,X,X,X,X,G,,X,,X,X,X,X,G,X,X,G,X,X,,X,G,X
Larxene,,X,X,X,X,X,,X,,,X,,X,,X,X,X,,,,,,X,,,,X,X,X,X,X,,,X,X,X,,X,X,,,,,,X,X,X,X,X,X,,X,,X,
Leon,,,,,,,,,,,X,,,,,X,X,,,,,,,,,,,,X,,X,,,,,X,,X,,,,,,,,,,,X,,,,,,
Lexaeus,,,,X,,X,X,X,,,X,X,,,,X,X,X,,,G,,X,,,,X,,X,,X,,,,,X,,X,,,,,G,,,X,,,X,X,,,,X,
Luxord,,,G,X,,X,,X,,,X,X,,,X,X,G,X,,,X,,X,,,,,,X,,X,,,,X,G,,G,,,,,,,,X,G,,G,X,,,,X,
Marluxia,,,G,X,,G,,X,,,X,,,,G,X,,,,,,,X,,,,,,G,,,,,,G,,,,,,,,,,,X,G,,,G,,,,X,
Oogie Boogie,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
Past Pete,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pete TR,F,,,,F,,,X,,,X,F,,,F,,,,,,,,X,,,,,F,F,,,F,F,F,F,,,,,,,,,,F,X,F,,,,,,,X,
Prison Keeper,,,,X,,,,X,,,X,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,X,
Riku,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roxas,,,G,X,,X,,X,,,X,,,,,X,X,,,,,,X,,,,,,X,,,,,,,,,X,,,,,,,,X,G,,X,X,,,,X,
Saix,,X,X,X,,X,,X,,,X,X,,,X,X,X,X,,,,,X,,,,,,X,,X,,,,X,X,,X,,,,,,,,X,X,,X,X,,,,X,
Sark,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scar,,,,G,,,X,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seifer,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sephiroth,,X,G,X,,G,,X,,,X,,,,G,,,,,,,,X,,,,G,,,,,,,,G,,,,,,,,G,,,X,G,,,G,,,,X,
Setzer,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shadow Stalker,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
Shan-Yu,,,X,X,,,,,,,X,,,,X,,X,,,,,,,,,,,,,,,,,,X,X,,X,,,,,,,,,X,,X,,,,,,
Storm Rider,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,X,X
Terra,,G,X,X,,X,G,X,,,X,,,,X,X,,,X,,G,,X,,,,G,,X,,,,,,X,,,,,,,,G,,,X,X,,,X,,,,X,
The Beast,,,X,X,,,,G,,,X,,,,X,X,X,,,,,,G,,,,,,,,,,,,X,X,,X,,,,,,,,G,X,,X,,,,,G,
