Destination/Source,Armor Xemnas I,Armor Xemnas II,Axel I,Axel II,Barbossa,Blizzard Lord,Cerberus,Cloud,Dark Thorn,Demyx,Demyx OC,Final Xemnas,Grim Reaper I,Grim Reaper II,Groundshaker,Hades II,Hayner,Hercules,Hostile Program,Hydra,Jafar,Larxene,Leon,Lexaeus,Luxord,Marluxia,Oogie Boogie,Past Pete,Pete TR,Prison Keeper,Riku,Roxas,Saix,Sark,Scar,Seifer,Sephiroth,Setzer,Shadow Stalker,Shan-Yu,Storm Rider,Terra,The Beast,The Experiment,Thresholder,Tifa,Twilight Thorn,Vexen,Vivi,Volcano Lord,Xaldin,Xemnas,Xigbar,Yuffie,Zexion
Armor Xemnas I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Armor Xemnas II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Axel I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Axel II,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Barbossa,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,
Blizzard Lord,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cerberus,,,,,,,,,,,,,,,,,,,,,,,,,,,G,,,,,,,,,,,,,,,,G,,,,,,,,,,,,
Cloud,,X,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,X,,,X,,X,,X,,,,,,,,,,,X,,,,,,
Dark Thorn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Demyx,,,,,,X,X,X,,,,,,,,,X,X,,,,,X,,,,,,X,,X,,,,,X,,X,,,,,,,,X,,,X,X,,,,X,
Demyx OC,X,X,X,X,X,X,X,X,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
Final Xemnas,,,,,,X,,X,,,,,,,,,,,,,,,X,,,,,,,,X,,,,,,,,,,,,,,,X,,,,X,,,,X,
Grim Reaper I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grim Reaper II,,,,,,,,,X,,,,,,X,X,,,,,,,,,,,,,,,,,,,X,,,,X,,,,,,,,,,,,,,,,
Groundshaker,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
Hades II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hayner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hercules,,X,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,X,,,,,X,,X,,,,,,,,,,,X,,,,,,
Hostile Program,,,,,,X,,X,,,,,,,,,X,X,,,,,X,,,,,,X,,X,,,,,X,,X,,,,,,,,X,,,X,X,,,,X,
Hydra,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Jafar,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Larxene,,X,X,X,X,,,,,,X,,X,,X,X,X,,,,,,,,,,X,X,,X,,,,X,,X,,X,X,,,,,,,,X,X,X,,,X,,,
Leon,,X,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,X,,,,,X,,X,,,,,,,,,,,X,,,,,,
Lexaeus,,,,X,,X,,X,,,,,,,,,X,X,,,,,X,,,,,,X,,X,,,X,,X,,X,,,,,,,,X,,,X,X,,,,X,
Luxord,,,,,,X,,X,,,,,,,X,X,X,X,,,,,X,,,,,,X,,X,,,,X,X,,X,,,,,,,,X,,,X,X,,,,X,
Marluxia,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
